district,chiefdom,section,type_of_water_point
Bo,Bo Town,West Ward-Lewabu - Manjama,9:Unprotected dug well
North,Koinadugu,Nieni,6:Public tap/standpipe (stand-alone or water kiosk
Bombali,Bombali Sebora,Kagbaran Dokom B,2:Protected dug well
NA,NA,NA,NA
North,Koinadugu,Nieni,2:Protected dug well
North,Tonkolili,Kholifa Rowala,OTHER:stand tap
NA,NA,NA,NA
East,Kono,Sandor,2:Protected dug well
Kenema,Gaura,Sandaru,1:Protected spring
Kambia,Bramaia,Konta,OTHER:hand pump
NA,NA,NA,NA
Kambia,Bramaia,Konta,OTHER:hand pump
West,Western Urban,East III,6:Public tap/standpipe (stand-alone or water kiosk
North,Port Loko,Sanda Magbolont,9:Unprotected dug well
Kambia,Bramaia,Kabaya,OTHER:hand pumps
NA,NA,NA,NA
NA,NA,NA,NA
Kenema,Nongowa,Dagbanya,6:Public tap/standpipe (stand-alone or water kiosk
East,Kailahun,Jawie,2:Protected dug well
South,Moyamba,Lower Banta,3:Tube well or borehole
Port Loko,Maforki,Sendugu,2:Protected dug well
Western Urban,East III,Portee,6:Public tap/standpipe (stand-alone or water kiosk
East,Kono,Sandor,7:Piped water into dwelling/plot/yard
Bo,Bo Town,West Ward-Moriba Town - Sewa Road,9:Unprotected dug well
Bo,Bo Town,East Ward-Gbondo Town,9:Unprotected dug well
East,Kailahun,Upper Bambara,2:Protected dug well
Port Loko,Kaffu Bullom,Rosint,2:Protected dug well
North,Bombali,Makari Gbanti,9:Unprotected dug well
Tonkolili,Gbonkolenken,Mayeppoh,2:Protected dug well
Koinadugu,Sengbe,Yogomaia,2:Protected dug well
Tonkolili,Gbonkolenken,Petifu Bana,2:Protected dug well
Western Urban,East III,Industrial Estate,6:Public tap/standpipe (stand-alone or water kiosk
East,Kailahun,Jawie,2:Protected dug well
South,Pujehun,Soro Gbema,2:Protected dug well
Tonkolili,Kalansogoia,Bumbuna,1:Protected spring
Kambia,Samu,Kychom,2:Protected dug well
NA,NA,NA,NA
West,Western Rural,York Rural,6:Public tap/standpipe (stand-alone or water kiosk
North,Bombali,Gbendembu Ngowahun,3:Tube well or borehole
NA,NA,NA,NA
North,Port Loko,Kaffu Bullom,2:Protected dug well
North,Port Loko,Lokomasama,2:Protected dug well
South,Moyamba,Ribbi,2:Protected dug well
Bo,Bagbo,Jimmi,2:Protected dug well
NA,NA,NA,NA
Tonkolili,Gbonkolenken,Petifu Bana,2:Protected dug well
Kenema,Kenema City,Gbo Lambayama A-Gombu,6:Public tap/standpipe (stand-alone or water kiosk
Koinadugu,Kasunko,Madingo II,7:Piped water into dwelling/plot/yard
North,Port Loko,Kaffu Bullom,2:Protected dug well
Bo,Lugbu,Gao,2:Protected dug well
NA,NA,NA,NA
Kenema,Lower Bambara,Korjei Ngieya,2:Protected dug well
Kenema,Lower Bambara,Gboro,2:Protected dug well
South,Bo,Bumpe Ngao,3:Tube well or borehole
NA,NA,NA,NA
Kenema,Tunkia,Giewoma,2:Protected dug well
Kenema,Kenema City,Gbo Lambayama A-Gombu,6:Public tap/standpipe (stand-alone or water kiosk
Bo,Jaiama Bongor,Upper Niawa,3:Tube well or borehole
NA,NA,NA,NA
South,Bo,Bo Town,9:Unprotected dug well
Bo,Bumpe Ngao,Taninahun,6:Public tap/standpipe (stand-alone or water kiosk
NA,NA,NA,NA
North,Port Loko,Buya Romende,2:Protected dug well
East,Kenema,Kenema City,9:Unprotected dug well
Kenema,Gaura,Mendekelema,6:Public tap/standpipe (stand-alone or water kiosk
North,Bombali,Sella Limba,2:Protected dug well
Bo,Tikonko,Seiwa,9:Unprotected dug well
NA,NA,NA,NA
Port Loko,Kaffu Bullom,Mahera,2:Protected dug well
NA,NA,NA,NA
Kenema,Small Bo,Fallay,9:Unprotected dug well
East,Kailahun,Jawie,2:Protected dug well
Kenema,Lower Bambara,Nyawa,6:Public tap/standpipe (stand-alone or water kiosk
Port Loko,Kaffu Bullom,Mahera,2:Protected dug well
NA,NA,NA,NA
East,Kono,Nimikoro,2:Protected dug well
South,Pujehun,Panga Kabonde,2:Protected dug well
North,Port Loko,Buya Romende,2:Protected dug well
Western Urban,East III,Robis,2:Protected dug well
Kenema,Niawa,Niawa,7:Piped water into dwelling/plot/yard
South,Bonthe,Bonthe Urban,3:Tube well or borehole
Western Urban,East III,Kuntolor,6:Public tap/standpipe (stand-alone or water kiosk
Port Loko,Koya,Mahera,2:Protected dug well
South,Pujehun,Barri,2:Protected dug well
Kenema,Gaura,Sembehun,2:Protected dug well
Kailahun,Njaluahun,Jonga,2:Protected dug well
Koinadugu,Sengbe,Yogomaia,2:Protected dug well
Bombali,Bombali Sebora,Konta,3:Tube well or borehole
Bo,Bo Town,West Ward-Moriba Town - Sewa Road,9:Unprotected dug well
East,Kailahun,Upper Bambara,9:Unprotected dug well
Bo,Boama,Lower Pataloo,9:Unprotected dug well
Koinadugu,Sengbe,Lower Kamadugu,2:Protected dug well
NA,NA,NA,NA
NA,NA,NA,NA
North,Tonkolili,Kholifa Rowala,6:Public tap/standpipe (stand-alone or water kiosk
Kenema,Nongowa,Dakpana,2:Protected dug well
Western Urban,West III,Hill Station,7:Piped water into dwelling/plot/yard
Western Urban,East III,Kuntolor,6:Public tap/standpipe (stand-alone or water kiosk
Bo,Tikonko,Seiwa,2:Protected dug well
NA,NA,NA,NA
South,Pujehun,Malen,1:Protected spring
Bo,Jaiama Bongor,Tongowa,2:Protected dug well
North,Tonkolili,Kholifa Rowala,1:Protected spring
North,Tonkolili,Kholifa Rowala,6:Public tap/standpipe (stand-alone or water kiosk
South,Pujehun,Barri,3:Tube well or borehole
South,Bo,Bo Town,9:Unprotected dug well
NA,NA,NA,NA
NA,NA,NA,NA
South,Bo,Bumpe Ngao,6:Public tap/standpipe (stand-alone or water kiosk
South,Bo,Bo Town,9:Unprotected dug well
NA,NA,NA,NA
NA,NA,NA,NA
Western Urban,West III,Hill Station,7:Piped water into dwelling/plot/yard
NA,NA,NA,NA
East,Kailahun,Luawa,9:Unprotected dug well
Kenema,Nongowa,Dakpana,2:Protected dug well
East,Kono,Sandor,7:Piped water into dwelling/plot/yard
Kenema,Nongowa,Dagbanya,2:Protected dug well
North,Bombali,Makari Gbanti,2:Protected dug well
NA,NA,NA,NA
Port Loko,Koya,Mawoma,2:Protected dug well
Port Loko,Koya,Mandoma,2:Protected dug well
Moyamba,Kaiyamba,Kpange,2:Protected dug well
Kenema,Gaura,Joru,6:Public tap/standpipe (stand-alone or water kiosk
North,Tonkolili,NA,3:Tube well or borehole
West,Western Rural,Waterloo Rural,2:Protected dug well
East,Kailahun,Kissi Teng,2:Protected dug well
Kenema,Small Bo,Fallay,9:Unprotected dug well
Kenema,Small Bo,Gorama,2:Protected dug well
Kenema,Kenema City,Gbo Kakajama A-Shimbeck,6:Public tap/standpipe (stand-alone or water kiosk
Tonkolili,Kafe Simiria,Makontande,3:Tube well or borehole
Bonthe,Dema,Chepo,12:Surface water (lake/river/stream)
Kenema,Tunkia,Kuawuma,2:Protected dug well
Bo,Bo Town,East Ward-Messima II,9:Unprotected dug well
South,Pujehun,Kpaka,2:Protected dug well
Kenema,Small Bo,Fallay,9:Unprotected dug well
North,Bombali,Biriwa,2:Protected dug well
Port Loko,Koya,Mahera,2:Protected dug well
Tonkolili,Kafe Simiria,Mabonto,1:Protected spring
Kenema,Kenema City,Gbo Lambayama A-Kondebotihun,6:Public tap/standpipe (stand-alone or water kiosk
South,Pujehun,Makpele,2:Protected dug well
Port Loko,Kaffu Bullom,Lungi,2:Protected dug well
NA,NA,NA,NA
South,Pujehun,Pejeh(Futa peje,2:Protected dug well
Bonthe,Sittia,Yoni,3:Tube well or borehole
Kambia,Masungbala,Thalla,2:Protected dug well
